School code,School Name,COMPOSITE_CLASS_COUNT_14,COMPOSITE_CLASS_STUDENTS_14,PCT_COMPOSITE_CLASSES_14,PCT_COMPOSITE_CLASS_STUDENTS_14,COMPOSITE_CLASS_COUNT_15,COMPOSITE_CLASS_STUDENTS_15,PCT_COMPOSITE_CLASSES_15,PCT_COMPOSITE_CLASS_STUDENTS_15,COMPOSITE_CLASS_COUNT_16,COMPOSITE_CLASS_STUDENTS_16,PCT_COMPOSITE_CLASSES_16,PCT_COMPOSITE_CLASS_STUDENTS_16,COMPOSITE_CLASS_COUNT_17,COMPOSITE_CLASS_STUDENTS_17,PCT_COMPOSITE_CLASSES_17,PCT_COMPOSITE_CLASS_STUDENTS_17,COMPOSITE_CLASS_COUNT_18,COMPOSITE_CLASS_STUDENTS_18,PCT_COMPOSITE_CLASSES_18,PCT_COMPOSITE_CLASS_STUDENTS_18,COMPOSITE_CLASS_COUNT_19,COMPOSITE_CLASS_STUDENTS_19,PCT_COMPOSITE_CLASSES_19,PCT_COMPOSITE_CLASS_STUDENTS_19,COMPOSITE_CLASS_COUNT_21,COMPOSITE_CLASS_STUDENTS_21,PCT_COMPOSITE_CLASSES_21,PCT_COMPOSITE_CLASS_STUDENTS_21,COMPOSITE_CLASS_COUNT_22,COMPOSITE_CLASS_STUDENTS_22,PCT_COMPOSITE_CLASSES_22,PCT_COMPOSITE_CLASS_STUDENTS_22
1001,Abbotsford Public School,11,302,50,53.5,6,176,25,29.5,6,172,25,28.4,8,225,32,35.4,12,349,50,56.5,7,182,30.4,31.9,11,304,52.4,58.7,11,299,57.9,61.9
1002,Aberdeen Public School,1,29,12.5,14.5,4,106,44.4,49.5,5,132,55.6,55.9,5,132,55.6,57.9,5,109,50,53.2,7,184,87.5,89.3,6,145,75,78.4,2,54,25,33.3
1003,Abermain Public School,8,189,88.9,90.9,5,142,55.6,63.7,6,167,60,65.2,5,140,45.5,52.8,6,173,46.2,58.6,6,160,50,57.6,11,270,100,100,6,154,50,57.9
1007,Adaminaby Public School,1,19,100,100,1,22,100,100,1,23,100,100,1,16,100,100,1,17,100,100,1,19,100,100,1,16,100,100,1,13,100,100
1008,Adamstown Public School,5,148,55.6,64.1,4,111,44.4,47.6,7,181,63.6,69.3,6,163,54.5,60.8,7,190,63.6,70.4,6,173,54.5,62,6,163,42.9,48.2,6,164,40,44.3
1009,Adelong Public School,4,81,100,100,4,76,100,100,3,72,75,85.7,4,78,100,100,3,73,100,100,3,67,100,100,3,56,100,100,3,49,100,100
3640,Afterlee Public School,1,14,100,100,1,11,100,100,1,13,100,100,1,18,100,100,1,9,100,100,1,10,100,100,1,7,100,100,0,0,0,0
4177,Albert Park Public School,3,55,100,100,3,50,100,100,3,59,100,100,3,58,75,85.3,3,69,75,79.3,4,94,100,100,3,74,60,75.5,4,73,80,76.8
1015,Albion Park Public School,3,82,18.8,20.3,10,263,58.8,63.4,8,226,47.1,54.1,6,153,35.3,36.7,6,167,33.3,37.4,3,82,16.7,18.2,4,109,22.2,24.5,7,195,38.9,43.4
4121,Albion Park Rail Public School,1,23,7.7,8.5,6,155,46.2,55,7,175,58.3,62.5,11,266,84.6,87.8,10,190,62.5,62.3,11,289,84.6,87.8,12,280,85.7,88.6,6,161,50,56.3
3922,Albury North Public School,6,156,54.5,59.8,9,223,81.8,83.8,8,190,72.7,74.8,8,187,80,81,10,241,100,100,9,199,81.8,84,6,139,54.5,56.7,9,205,81.8,83.7
1017,Albury Public School,3,81,13,13.8,5,144,21.7,24.2,5,140,21.7,23.2,3,81,13.6,14.1,9,246,39.1,42.7,8,231,32,36.7,6,171,22.2,27.8,5,133,20.8,22.1
