School_code,School_name,Street,Town_suburb,Postcode,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,Opportunity_class,School_subtype,Date_1st_teacher,LGA,Latitude,Longitude,Assets_unit,SA4
1001,Abbotsford Public School,350 Great North Rd,Abbotsford ,2046,474.0,2.0,41.0,1111,Primary School,Not Selective,N,Kinder to Year 6,1925-04-01,Canada Bay (A),-33.85273,151.13121,Sydney,Sydney - Inner West
1002,Aberdeen Public School,Segenhoe St,Aberdeen,2336,166.0,22.0,np,895,Primary School,Not Selective,N,Kinder to Year 6,1864-02-01,Upper Hunter Shire (A),-32.1661,150.88809,Hunter/Central Coast,Hunter Valley exc Newcastle
1003,Abermain Public School,Goulburn St,Abermain ,2326,265.0,26.0,np,893,Primary School,Not Selective,N,Kinder to Year 6,1905-08-01,Cessnock (C),-32.80892,151.4265,Hunter/Central Coast,Hunter Valley exc Newcastle
1007,Adaminaby Public School,9 Cosgrove Street,ADAMINABY,2629,12.0,0.0,np,976,Primary School,Not Selective,N,Kinder to Year 6,1869-01-01,Snowy Monaro Regional (A),-35.993294,148.77672,Southern NSW,Capital Region
1008,Adamstown Public School,Bryant St,Adamstown ,2289,361.0,8.0,14.0,1060,Primary School,Not Selective,N,Kinder to Year 6,1877-07-01,Newcastle (C),-32.932213,151.73097,Hunter/Central Coast,Newcastle and Lake Macquarie
1009,Adelong Public School,50 Gilmore Street,ADELONG,2729,47.0,np,np,962,Primary School,Not Selective,N,Kinder to Year 6,1860-03-01,Snowy Valleys (A),-35.312332,148.0628,Southern NSW,Riverina
1015,Albion Park Public School,Tongarra & Hamilton Rds,Albion Park ,2527,467.0,9.0,7.0,968,Primary School,Not Selective,N,Kinder to Year 6,1872-07-01,Shellharbour (C),-34.570255,150.77261,Southern NSW,Illawarra
1016,Timbumburi Public School,542 Kia Ora Lane,Timbumburi ,2340,154.0,10.0,np,1012,Primary School,Not Selective,N,Kinder to Year 6,1911-02-01,Tamworth Regional (A),-31.203781,150.91563,North Western NSW,New England and North West
1017,Albury Public School,481 David St,Albury ,2640,607.0,5.0,10.0,1053,Primary School,Not Selective,N,Kinder to Year 6,1850-07-01,Albury (C),-36.082455,146.91925,Southern NSW,Murray
1019,Albury West Public School,Mott St,Albury ,2640,166.0,23.0,8.0,906,Primary School,Not Selective,N,Kinder to Year 6,1936-01-01,Albury (C),-36.07783,146.89555,Southern NSW,Murray
1028,Alma Public School,Comstock St,Broken Hill ,2880,257.0,36.0,2.0,860,Primary School,Not Selective,N,Kinder to Year 6,1889-01-01,Broken Hill (C),-31.982218,141.46245,North Western NSW,Far West and Orana
1030,Alstonville Public School,Main St,Alstonville ,2477,294.0,10.0,7.0,1014,Primary School,Not Selective,Y,Kinder to Year 6,1875-01-01,Ballina (A),-28.83847,153.43817,North Coast,Richmond - Tweed
1040,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,343.0,12.0,5.0,969,Primary School,Not Selective,N,Kinder to Year 6,1879-11-01,Port Stephens (A),-32.77637,152.0899,Hunter/Central Coast,Hunter Valley exc Newcastle
1041,Annandale Public School,25 Johnston St,Annandale ,2038,397.0,2.0,37.0,1132,Primary School,Not Selective,N,Kinder to Year 6,1886-08-01,Inner West (A),-33.88578,151.1696,Sydney,Sydney - Inner West
1042,Annandale North Public School,206 Johnston St,Annandale ,2038,391.0,3.0,27.0,1151,Primary School,Not Selective,N,Kinder to Year 6,1907-05-01,Inner West (A),-33.877907,151.17183,Sydney,Sydney - Inner West
1045,Appin Public School,97 Appin Road,APPIN,2560,342.0,8.0,8.0,989,Primary School,Not Selective,N,Kinder to Year 6,1868-01-01,Wollondilly (A),-34.198418,150.78766,South Western Sydney,Sydney - Outer South West
1048,Arcadia Public School,140 Arcadia Road,ARCADIA,2159,77.0,np,19.0,1055,Primary School,Not Selective,N,Kinder to Year 6,1894-05-01,Hornsby (A),-33.623486,151.05103,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury
1051,Ardlethan Central School,Mithul St,Ardlethan ,2665,73.4,27.0,np,891,Central/Community School,Not Selective,N,Kinder to Year 12,1910-01-01,Coolamon (A),-34.3541,146.90056,Southern NSW,Riverina
1055,Ariah Park Central School,Reid St,Ariah Park ,2665,138.0,4.0,np,963,Central/Community School,Not Selective,N,Kinder to Year 12,1899-04-01,Temora (A),-34.346924,147.21802,Southern NSW,Riverina
1057,Armidale City Public School,Faulkner St,Armidale ,2350,379.0,13.0,30.0,982,Primary School,Not Selective,Y,Kinder to Year 6,1861-06-01,Armidale Regional (A),-30.5195,151.66406,North Western NSW,New England and North West
1058,Drummond Memorial Public School,250 Rusden Street,ARMIDALE,2350,223.0,39.0,29.0,805,Primary School,Not Selective,N,Kinder to Year 6,1890-10-01,Armidale Regional (A),-30.511469,151.65071,North Western NSW,New England and North West
1061,Artarmon Public School,McMillan Rd,Artarmon ,2064,1237.0,0.0,87.0,1169,Primary School,Not Selective,Y,Kinder to Year 6,1910-10-01,Willoughby (C),-33.81125,151.186,Northern Sydney,Sydney - North Sydney and Hornsby
1064,Ashbury Public School,Trevenar St,Ashbury,2193,377.0,2.0,41.0,1115,Primary School,Not Selective,N,Kinder to Year 6,1924-05-01,Canterbury-Bankstown (A),-33.898834,151.11945,Sydney,Sydney - Inner West
1065,Ashfield Public School,Liverpool Rd,Ashfield ,2131,476.0,2.0,75.0,1100,Primary School,Not Selective,Y,Kinder to Year 6,1862-01-01,Inner West (A),-33.889725,151.1282,Sydney,Sydney - Inner West
1066,Ashford Central School,Albury St,Ashford ,2361,148.0,39.0,np,814,Central/Community School,Not Selective,N,Kinder to Year 12,1868-01-01,Inverell (A),-29.321262,151.09464,North Western NSW,New England and North West
1070,Asquith Public School,3 Dudley St,Asquith,2077,402.0,1.0,56.0,1093,Primary School,Not Selective,N,Kinder to Year 6,1930-03-01,Hornsby (A),-33.68573,151.11218,Northern Sydney,Sydney - North Sydney and Hornsby
1071,Attunga Public School,Railway St,Attunga ,2345,35.0,40.0,0.0,854,Primary School,Not Selective,N,Kinder to Year 6,1878-04-01,Tamworth Regional (A),-30.930445,150.84657,North Western NSW,New England and North West
1073,Auburn North Public School,100 Adderley St,Auburn ,2144,630.0,np,98.0,998,Primary School,Not Selective,N,Kinder to Year 6,1891-01-01,Cumberland (A),-33.841667,151.03862,South Western Sydney,Sydney - Parramatta
1075,Auburn West Public School,Chiswick Rd,Auburn ,2144,563.0,1.0,97.0,913,Primary School,Not Selective,N,Kinder to Year 6,1934-08-01,Cumberland (A),-33.86093,151.01976,South Western Sydney,Sydney - Parramatta
1076,Austinmer Public School,90 Lawrence Hargrave Drive,Austinmer ,2515,257.0,3.0,8.0,1112,Primary School,Not Selective,N,Kinder to Year 6,1866-01-01,Wollongong (C),-34.305397,150.935,Southern NSW,Illawarra
1077,Austral Public School,219 Edmondson Avenue,AUSTRAL,2179,424.0,2.0,75.0,994,Primary School,Not Selective,N,Kinder to Year 6,1893-06-01,Liverpool (C),-33.934486,150.81264,South Western Sydney,Sydney - South West
1081,Avoca Public School,Sheepwash Rd,Avoca,2577,9.0,0.0,0.0,1007,Primary School,Not Selective,N,Kinder to Year 6,1872-09-01,Wingecarribee (A),-34.612698,150.47977,Southern NSW,Southern Highlands and Shoalhaven
1082,Avoca Beach Public School,The Round Drive,Avoca Beach,2251,451.0,3.0,10.0,1083,Primary School,Not Selective,N,Kinder to Year 6,1935-05-01,Central Coast (C),-33.471153,151.43074,Hunter/Central Coast,Central Coast
1084,Awaba Public School,Mulbring Street,Awaba,2283,27.0,np,np,943,Primary School,Not Selective,N,Kinder to Year 6,1891-06-01,Lake Macquarie (C),-33.010555,151.53807,Hunter/Central Coast,Newcastle and Lake Macquarie
1085,Colo Vale Public School,Wattle St,Colo Vale ,2575,170.0,6.0,7.0,967,Primary School,Not Selective,N,Kinder to Year 6,1882-01-01,Wingecarribee (A),-34.40128,150.47618,Southern NSW,Southern Highlands and Shoalhaven
1098,Bald Blair Public School,2132 Greenhills Road,GUYRA,2365,39.0,np,np,965,Primary School,Not Selective,N,Kinder to Year 6,1920-05-01,Armidale Regional (A),-30.229893,151.78505,North Western NSW,New England and North West
1104,Seaforth Public School,37 Kempbridge Avenue,Seaforth ,2092,446.0,np,18.0,1164,Primary School,Not Selective,N,Kinder to Year 6,1881-07-01,Northern Beaches (A),-33.793262,151.25124,Northern Sydney,Sydney - Northern Beaches
1106,Balgownie Public School,Balgownie Rd,Balgownie ,2519,336.0,2.0,17.0,1085,Primary School,Not Selective,N,Kinder to Year 6,1889-04-01,Wollongong (C),-34.386986,150.87207,Southern NSW,Illawarra
1111,Ballimore Public School,Bomen St,Ballimore ,2830,14.0,np,0.0,917,Primary School,Not Selective,N,Kinder to Year 6,1884-07-01,Dubbo Regional (A),-32.193596,148.89963,North Western NSW,Far West and Orana
1112,Ballina Public School,48 Crane St,Ballina ,2478,266.0,38.0,11.0,848,Primary School,Not Selective,N,Kinder to Year 6,1861-08-01,Ballina (A),-28.869724,153.5637,North Coast,Richmond - Tweed
1115,Balranald Central School,We St,Balranald,2715,175.0,15.0,7.0,919,Central/Community School,Not Selective,N,Kinder to Year 12,1865-09-01,Balranald (A),-34.635574,143.56477,Southern NSW,Murray
1118,Bangalow Public School,Byron St,Bangalow ,2479,250.0,np,11.0,1085,Primary School,Not Selective,N,Kinder to Year 6,1884-10-01,Byron (A),-28.68554,153.52574,North Coast,Richmond - Tweed
1121,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany ,2019,293.0,3.0,34.0,1038,Primary School,Not Selective,N,Kinder to Year 6,1881-08-01,Bayside (A),-33.95374,151.2066,Sydney,Sydney - City and Inner South
1123,Greenacre Public School,Waterloo Rd,Greenacre,2190,779.0,1.0,97.0,912,Primary School,Not Selective,Y,Kinder to Year 6,1921-05-01,Canterbury-Bankstown (A),-33.91116,151.05759,South Western Sydney,Sydney - Inner South West
