school_code,school_name,Year,Value
1001,Abbotsford Public School,2011,94.3
1001,Abbotsford Public School,2012,95.9
1001,Abbotsford Public School,2013,95.7
1001,Abbotsford Public School,2014,95.3
1001,Abbotsford Public School,2015,94.6
1001,Abbotsford Public School,2016,95.2
1001,Abbotsford Public School,2017,94.1
1001,Abbotsford Public School,2018,94.9
1001,Abbotsford Public School,2019,94.3
1001,Abbotsford Public School,2021,94.3
1001,Abbotsford Public School,2022,89
1002,Aberdeen Public School,2011,93.6
1002,Aberdeen Public School,2012,94.2
1002,Aberdeen Public School,2013,95.2
1002,Aberdeen Public School,2014,95.3
1002,Aberdeen Public School,2015,95
1002,Aberdeen Public School,2016,92.7
1002,Aberdeen Public School,2017,91.9
1002,Aberdeen Public School,2018,91.3
1002,Aberdeen Public School,2019,89.5
1002,Aberdeen Public School,2021,88.4
1002,Aberdeen Public School,2022,83.9
1003,Abermain Public School,2011,93.5
1003,Abermain Public School,2012,93
1003,Abermain Public School,2013,92
1003,Abermain Public School,2014,92.8
1003,Abermain Public School,2015,91.4
1003,Abermain Public School,2016,91.5
1003,Abermain Public School,2017,92.8
1003,Abermain Public School,2018,91
1003,Abermain Public School,2019,90.3
1003,Abermain Public School,2021,89.2
1003,Abermain Public School,2022,85.2
1007,Adaminaby Public School,2011,95.4
1007,Adaminaby Public School,2012,96.4
1007,Adaminaby Public School,2013,97.2
1007,Adaminaby Public School,2014,96.2
1007,Adaminaby Public School,2015,90.9
1007,Adaminaby Public School,2016,85.5
1007,Adaminaby Public School,2017,95.6
1007,Adaminaby Public School,2018,92.2
1007,Adaminaby Public School,2019,94
1007,Adaminaby Public School,2021,90.7
1007,Adaminaby Public School,2022,75.7
1008,Adamstown Public School,2011,94.8
1008,Adamstown Public School,2012,95.4
1008,Adamstown Public School,2013,94.7
1008,Adamstown Public School,2014,95.8
1008,Adamstown Public School,2015,95.1
1008,Adamstown Public School,2016,93.2
1008,Adamstown Public School,2017,93
1008,Adamstown Public School,2018,92.6
1008,Adamstown Public School,2019,92.7
1008,Adamstown Public School,2021,93.3
1008,Adamstown Public School,2022,87.5
1009,Adelong Public School,2011,93.5
1009,Adelong Public School,2012,94.3
1009,Adelong Public School,2013,93.8
1009,Adelong Public School,2014,93.4
1009,Adelong Public School,2015,93.3
1009,Adelong Public School,2016,92.7
1009,Adelong Public School,2017,91.3
1009,Adelong Public School,2018,92.1
1009,Adelong Public School,2019,89.7
1009,Adelong Public School,2021,90
1009,Adelong Public School,2022,88.3
3640,Afterlee Public School,2011,87.5
3640,Afterlee Public School,2012,89.8
3640,Afterlee Public School,2013,92.4
3640,Afterlee Public School,2014,93.4
3640,Afterlee Public School,2015,93.9
3640,Afterlee Public School,2016,97
3640,Afterlee Public School,2017,93
3640,Afterlee Public School,2018,94.2
3640,Afterlee Public School,2019,95.1
3640,Afterlee Public School,2021,90.6
8493,Airds High School,2011,81.2
8493,Airds High School,2012,80.4
8493,Airds High School,2013,82.7
8493,Airds High School,2014,83.4
8493,Airds High School,2015,82.3
8493,Airds High School,2016,83
8493,Airds High School,2017,80.1
8493,Airds High School,2018,81.5
8493,Airds High School,2019,78.1
8493,Airds High School,2021,78
8493,Airds High School,2022,72.5
5748,Ajuga School,2021,76.7
