School_code,Year,CompClass_#,CompClass_%,AllClass#
1001,2014,11,0.5,22
1001,2015,6,0.25,24
1001,2016,6,0.25,24
1001,2017,8,0.32,25
1001,2018,12,0.5,24
1001,2019,7,0.304,23
1001,2021,11,0.524,21
1001,2022,11,0.579,19
1002,2014,1,0.125,8
1002,2016,5,0.556,9
1002,2017,5,0.556,9
1002,2019,7,0.875,8
1002,2021,6,0.75,8
1002,2022,2,0.25,8
1003,2014,8,0.889,9
1003,2015,5,0.556,9
1003,2016,6,0.6,10
1003,2017,5,0.455,11
1003,2018,6,0.462,13
1003,2019,6,0.5,12
1003,2021,11,1.0,11
1003,2022,6,0.5,12
1007,2014,1,1.0,1
1007,2015,1,1.0,1
1007,2016,1,1.0,1
1007,2017,1,1.0,1
1007,2018,1,1.0,1
1007,2019,1,1.0,1
1007,2021,1,1.0,1
1007,2022,1,1.0,1
1008,2014,5,0.556,9
1008,2015,4,0.444,9
1008,2016,7,0.636,11
1008,2017,6,0.545,11
1008,2019,6,0.545,11
1008,2021,6,0.42900002,14
1008,2022,6,0.4,15
1009,2014,4,1.0,4
1009,2015,4,1.0,4
1009,2016,3,0.75,4
1009,2017,4,1.0,4
1009,2018,3,1.0,3
1009,2019,3,1.0,3
1009,2021,3,1.0,3
1009,2022,3,1.0,3
3640,2014,1,1.0,1
3640,2015,1,1.0,1
3640,2017,1,1.0,1
3640,2018,1,1.0,1
3640,2019,1,1.0,1
3640,2021,1,1.0,1
3640,2022,0,0.0,
4177,2014,3,1.0,3
4177,2015,3,1.0,3
4177,2016,3,1.0,3
4177,2017,3,0.75,4
4177,2018,3,0.75,4
4177,2019,4,1.0,4
4177,2021,3,0.6,5
4177,2022,4,0.8,5
1015,2014,3,0.188,16
1015,2016,8,0.471,17
1015,2018,6,0.333,18
1015,2019,3,0.16700001,18
1015,2021,4,0.222,18
1015,2022,7,0.38900003,18
4121,2014,1,0.077,13
4121,2015,6,0.462,13
4121,2016,7,0.583,12
4121,2017,11,0.84599996,13
4121,2018,10,0.625,16
4121,2019,11,0.84599996,13
4121,2022,6,0.5,12
3922,2014,6,0.545,11
3922,2015,9,0.818,11
3922,2017,8,0.8,10
3922,2018,10,1.0,10
3922,2019,9,0.818,11
3922,2021,6,0.545,11
3922,2022,9,0.818,11
1017,2014,3,0.13,23
1017,2015,5,0.21700001,23
1017,2016,5,0.21700001,23
1017,2017,3,0.136,22
1017,2018,9,0.39099997,23
1017,2019,8,0.32,25
1017,2021,6,0.222,27
1017,2022,5,0.20799999,24
1019,2014,4,0.667,6
1019,2015,5,0.833,6
1019,2016,6,1.0,6
1019,2017,6,1.0,6
1019,2018,7,1.0,7
1019,2019,7,1.0,7
1019,2021,7,1.0,7
1019,2022,8,1.0,8
4601,2014,7,0.636,11
4601,2017,8,0.615,13
4601,2018,8,0.667,12
4601,2019,9,0.75,12
4601,2021,9,0.75,12
4601,2022,10,0.833,12
8556,2014,5,0.556,9
8556,2015,4,0.36400002,11
8556,2016,3,0.25,12
8556,2017,3,0.214,14
8556,2018,6,0.4,15
8556,2019,4,0.222,18
8556,2021,10,0.435,23
8556,2022,9,0.409,22
4605,2014,7,0.77800006,9
4605,2015,8,0.889,9
4605,2016,6,0.6,10
4605,2017,6,0.667,9
4605,2018,8,0.889,9
4605,2019,8,0.8,10
4605,2021,8,0.889,9
4605,2022,7,0.875,8
4200,2015,2,0.095,21
4200,2016,0,0.0,
4200,2018,1,0.043,23
4200,2019,0,0.0,
4200,2021,2,0.095,21
4200,2022,2,0.1,20
1028,2014,7,0.7,10
1028,2015,5,0.455,11
1028,2016,8,0.8,10
1028,2017,5,0.455,11
1028,2018,10,0.833,12
1028,2019,10,0.833,12
1030,2014,6,0.273,22
1030,2015,6,0.286,21
1030,2016,2,0.091000006,22
1030,2017,3,0.143,21
1030,2018,3,0.158,19
1030,2019,7,0.438,16
1030,2021,7,0.538,13
1030,2022,7,0.583,12
4505,2014,6,0.6,10
4505,2015,8,0.727,11
4505,2017,7,0.636,11
4505,2018,3,0.25,12
4505,2019,3,0.231,13
4505,2022,3,0.188,16
1040,2014,5,0.385,13
1040,2015,4,0.308,13
1040,2016,4,0.308,13
1040,2017,4,0.333,12
1040,2018,4,0.308,13
1040,2019,6,0.42900002,14
1040,2022,6,0.42900002,14
1042,2014,2,0.111,18
1042,2015,5,0.294,17
1042,2016,6,0.375,16
1042,2017,1,0.063,16
1042,2018,9,0.56299996,16
1042,2019,9,0.52900004,17
1042,2021,9,0.52900004,17
1042,2022,9,0.56299996,16
1041,2014,4,0.26700002,15
1041,2015,4,0.25,16
1041,2016,3,0.2,15
1041,2018,13,0.765,17
1041,2021,14,0.824,17
1041,2022,8,0.471,17
3719,2014,3,0.75,4
3719,2015,4,1.0,4
3719,2016,3,0.75,4
3719,2017,3,0.75,4
3719,2019,4,0.8,5
3719,2021,5,0.833,6
4656,2014,0,,
4656,2015,0,,
4656,2016,0,0.0,
4656,2017,1,0.067,15
4656,2018,6,0.25,24
4656,2019,3,0.111,27
4656,2021,2,0.063,32
4656,2022,5,0.152,33
1045,2014,6,0.667,9
1045,2016,8,0.727,11
1045,2017,8,0.667,12
1045,2019,8,0.571,14
1048,2014,4,1.0,4
1048,2015,4,1.0,4
1048,2016,3,0.75,4
1048,2018,4,1.0,4
1048,2022,3,0.75,4
4132,2014,3,0.6,5
4132,2015,5,1.0,5
4132,2016,4,0.8,5
4132,2017,4,0.8,5
4132,2018,4,1.0,4
4132,2019,2,0.4,5
4132,2021,1,0.16700001,6
4132,2022,2,0.333,6
1051,2014,3,1.0,3
1051,2015,3,1.0,3
1051,2017,2,1.0,2
1051,2018,2,1.0,2
1051,2019,2,1.0,2
1051,2021,2,1.0,2
