School_code,Year,CompStudent_#,CompStudent_%,AllStudent#
1001,2014,302,0.535,564
1001,2015,176,0.295,597
1001,2016,172,0.284,606
1001,2017,225,0.354,636
1001,2018,349,0.565,618
1001,2019,182,0.319,571
1001,2021,304,0.587,518
1001,2022,299,0.619,483
1002,2014,29,0.145,200
1002,2016,132,0.559,236
1002,2017,132,0.579,228
1002,2019,184,0.893,206
1002,2021,145,0.78400004,185
1002,2022,54,0.333,162
1003,2014,189,0.90900004,208
1003,2015,142,0.637,223
1003,2016,167,0.65199995,256
1003,2017,140,0.528,265
1003,2018,173,0.58599997,295
1003,2019,160,0.576,278
1003,2021,270,1.0,270
1003,2022,154,0.579,266
1007,2014,19,1.0,19
1007,2015,22,1.0,22
1007,2016,23,1.0,23
1007,2017,16,1.0,16
1007,2018,17,1.0,17
1007,2019,19,1.0,19
1007,2021,16,1.0,16
1007,2022,13,1.0,13
1008,2014,148,0.641,231
1008,2015,111,0.47599998,233
1008,2016,181,0.693,261
1008,2017,163,0.608,268
1008,2019,173,0.62,279
1008,2021,163,0.482,338
1008,2022,164,0.443,370
1009,2014,81,1.0,81
1009,2015,76,1.0,76
1009,2016,72,0.857,84
1009,2017,78,1.0,78
1009,2018,73,1.0,73
1009,2019,67,1.0,67
1009,2021,56,1.0,56
1009,2022,49,1.0,49
3640,2014,14,1.0,14
3640,2015,11,1.0,11
3640,2017,18,1.0,18
3640,2018,9,1.0,9
3640,2019,10,1.0,10
3640,2021,7,1.0,7
3640,2022,0,0.0,
4177,2014,55,1.0,55
4177,2015,50,1.0,50
4177,2016,59,1.0,59
4177,2017,58,0.85300004,68
4177,2018,69,0.79300004,87
4177,2019,94,1.0,94
4177,2021,74,0.755,98
4177,2022,73,0.768,95
1015,2014,82,0.203,404
1015,2016,226,0.541,418
1015,2018,167,0.374,447
1015,2019,82,0.18200001,451
1015,2021,109,0.245,445
1015,2022,195,0.43400002,449
4121,2014,23,0.085,271
4121,2015,155,0.55,282
4121,2016,175,0.625,280
4121,2017,266,0.878,303
4121,2018,190,0.62299997,305
4121,2019,289,0.878,329
4121,2022,161,0.56299996,286
3922,2014,156,0.598,261
3922,2015,223,0.83800006,266
3922,2017,187,0.81,231
3922,2018,241,1.0,241
3922,2019,199,0.84,237
3922,2021,139,0.56700003,245
3922,2022,205,0.83699995,245
1017,2014,81,0.138,587
1017,2015,144,0.24200001,595
1017,2016,140,0.23200001,603
1017,2017,81,0.141,574
1017,2018,246,0.42700002,576
1017,2019,231,0.367,629
1017,2021,171,0.278,615
1017,2022,133,0.221,602
1019,2014,84,0.64599997,130
1019,2015,89,0.84800005,105
1019,2016,122,1.0,122
1019,2017,140,1.0,140
1019,2018,152,1.0,152
1019,2019,151,1.0,151
1019,2021,160,1.0,160
1019,2022,166,1.0,166
4601,2014,185,0.68,272
4601,2017,219,0.67800003,323
4601,2018,223,0.71199995,313
4601,2019,243,0.799,304
4601,2021,244,0.792,308
4601,2022,243,0.86800003,280
8556,2014,138,0.59,234
8556,2015,89,0.349,255
8556,2016,84,0.29,290
8556,2017,85,0.241,353
8556,2018,155,0.41,378
8556,2019,109,0.253,431
8556,2021,255,0.48700002,524
8556,2022,265,0.48900002,542
4605,2014,177,0.84300005,210
4605,2015,204,0.915,223
4605,2016,161,0.65699995,245
4605,2017,161,0.71900004,224
4605,2018,208,0.91199994,228
4605,2019,185,0.845,219
4605,2021,202,0.91400003,221
4605,2022,182,0.883,206
4200,2015,52,0.1,520
4200,2016,0,0.0,
4200,2018,29,0.049000002,592
4200,2019,0,0.0,
4200,2021,51,0.101,505
4200,2022,49,0.099,495
1028,2014,174,0.74,235
1028,2015,105,0.477,220
1028,2016,201,0.855,235
1028,2017,126,0.519,243
1028,2018,223,0.871,256
1028,2019,222,0.85400003,260
1030,2014,163,0.295,553
1030,2015,165,0.309,534
1030,2016,60,0.113000005,531
1030,2017,87,0.162,537
1030,2018,78,0.159,491
1030,2019,189,0.463,408
1030,2021,193,0.555,348
1030,2022,181,0.59900004,302
4505,2014,154,0.667,231
4505,2015,191,0.764,250
4505,2017,185,0.688,269
4505,2018,79,0.271,292
4505,2019,74,0.24299999,305
4505,2022,66,0.188,351
1040,2014,131,0.398,329
1040,2015,102,0.32099998,318
1040,2016,94,0.308,305
1040,2017,109,0.35900003,304
1040,2018,116,0.35599998,326
1040,2019,155,0.449,345
1040,2022,155,0.467,332
1042,2014,46,0.109,422
1042,2015,147,0.35099998,419
1042,2016,160,0.39900002,401
1042,2017,25,0.062,403
1042,2018,252,0.62700003,402
1042,2019,238,0.585,407
1042,2021,231,0.575,402
1042,2022,246,0.626,393
1041,2014,102,0.27899998,366
1041,2015,110,0.289,381
1041,2016,87,0.236,369
1041,2018,325,0.797,408
1041,2021,349,0.84900004,411
1041,2022,228,0.574,397
3719,2014,62,0.775,80
3719,2015,70,1.0,70
3719,2016,57,0.77,74
3719,2017,64,0.78,82
3719,2019,88,0.83,106
3719,2021,118,0.855,138
4656,2014,0,,
4656,2015,0,,
4656,2016,0,0.0,
4656,2017,30,0.094,319
4656,2018,154,0.276,558
4656,2019,74,0.118999995,622
4656,2021,50,0.063,794
4656,2022,139,0.17,818
1045,2014,156,0.72199994,216
1045,2016,198,0.764,259
1045,2017,208,0.715,291
1045,2019,217,0.66,329
1048,2014,96,1.0,96
1048,2015,80,1.0,80
1048,2016,60,0.78900003,76
1048,2018,86,1.0,86
1048,2022,64,0.821,78
4132,2014,70,0.583,120
4132,2015,122,1.0,122
4132,2016,88,0.82199997,107
4132,2017,100,0.855,117
4132,2018,102,1.0,102
4132,2019,51,0.48599997,105
4132,2021,31,0.24,129
4132,2022,51,0.42099997,121
1051,2014,54,1.0,54
1051,2015,46,1.0,46
1051,2017,39,1.0,39
1051,2018,37,1.0,37
1051,2019,27,1.0,27
1051,2021,26,1.0,26
3904,2014,34,1.0,34
3904,2015,23,1.0,23
3904,2017,23,1.0,23
3904,2018,29,1.0,29
3904,2019,32,1.0,32
3904,2022,52,1.0,52
1055,2015,72,1.0,72
1055,2016,64,0.81,79
1055,2017,74,0.86,86
1055,2019,50,0.568,88
1055,2021,58,0.598,97
1055,2022,26,0.28,93
1057,2014,346,0.83599997,414
1057,2015,357,0.86,415
1057,2017,392,0.91400003,429
1057,2018,382,0.86,444
1057,2019,369,0.90199995,409
1057,2021,262,0.64699996,405
1057,2022,269,0.71699995,375
7401,2014,171,0.403,424
7401,2015,175,0.41599998,421
7401,2016,150,0.347,432
7401,2017,363,0.864,420
7401,2018,356,0.866,411
7401,2019,253,0.625,405
7401,2021,348,0.866,402
7401,2022,351,0.85,413
5103,2015,0,0.0,
5103,2016,18,0.273,66
5103,2017,17,0.18100001,94
5103,2018,0,0.0,
5103,2019,22,0.143,154
5103,2022,68,0.58599997,116
1061,2016,30,0.027,1111
1061,2017,0,0.0,
1061,2018,24,0.02,1200
1061,2019,50,0.040999997,1220
1061,2021,52,0.040999997,1268
1061,2022,54,0.044,1227
1064,2014,158,0.417,379
1064,2015,165,0.435,379
1064,2016,241,0.626,385
1064,2017,133,0.35799998,372
1064,2018,131,0.349,375
1064,2019,205,0.566,362
1064,2021,244,0.64199996,380
1064,2022,245,0.645,380
4344,2014,222,0.851,261
4344,2015,240,0.876,274
4344,2016,234,0.867,270
4344,2017,173,0.634,273
4344,2018,70,0.275,255
4344,2021,157,0.588,267
4344,2022,90,0.32700002,275
1065,2015,157,0.551,285
1065,2016,111,0.317,350
1065,2017,144,0.338,426
1065,2021,276,0.584,473
1066,2014,87,1.0,87
1066,2015,76,0.8,95
1066,2016,62,0.66,94
1066,2017,84,1.0,84
1066,2018,81,0.862,94
1066,2019,60,0.741,81
1066,2021,54,0.74,73
1066,2022,73,1.0,73
4375,2014,67,0.27899998,240
4375,2015,69,0.324,213
4375,2016,56,0.268,209
4375,2017,65,0.285,228
4375,2018,72,0.32700002,220
4375,2019,137,0.564,243
4375,2021,148,0.53,279
4375,2022,147,0.527,279
4642,2014,26,0.040999997,634
4642,2015,29,0.048,604
4642,2016,0,0.0,
4642,2017,59,0.095,621
4642,2018,22,0.036,611
4642,2019,52,0.086,605
4642,2021,318,0.624,510
4642,2022,180,0.35599998,506
1070,2014,269,0.879,306
1070,2015,275,0.83599997,329
1070,2016,303,0.878,345
1070,2017,315,0.85400003,369
1070,2018,157,0.396,396
1070,2019,50,0.117,427
1070,2021,21,0.05,420
1070,2022,24,0.062,387
3453,2014,73,0.266,274
3453,2016,45,0.162,278
3453,2021,24,0.074,324
3453,2022,23,0.071,324
1071,2014,26,1.0,26
1071,2016,33,1.0,33
1071,2017,33,1.0,33
1071,2018,34,1.0,34
1071,2019,32,1.0,32
1071,2022,36,1.0,36
1073,2014,57,0.094,606
1073,2015,20,0.03,667
1073,2016,49,0.074,662
1073,2017,0,0.0,
1073,2018,0,0.0,
1073,2019,26,0.037,703
1073,2021,30,0.045,667
1073,2022,22,0.034,647
7403,2016,406,0.78400004,518
7403,2017,386,0.77,501
7403,2019,405,0.82199997,493
7403,2022,380,0.824,461
1075,2014,76,0.106000006,717
1075,2015,78,0.106000006,736
1075,2017,423,0.619,683
1075,2018,52,0.085,612
1075,2019,76,0.128,594
1075,2022,79,0.14,564
1076,2014,108,0.309,350
1076,2015,192,0.541,355
1076,2016,79,0.22799999,346
1076,2018,201,0.617,326
1076,2019,106,0.34,312
1077,2014,163,0.503,324
1077,2015,112,0.35799998,313
1077,2016,244,0.871,280
1077,2017,235,0.88,267
1077,2018,246,0.92800003,265
1077,2019,240,0.845,284
1077,2022,345,0.85800004,402
5104,2014,25,0.21,119
5104,2015,45,0.341,132
5104,2017,0,0.0,
5104,2018,68,0.607,112
5104,2019,60,0.619,97
5104,2021,0,0.0,
5104,2022,0,0.0,
3792,2014,86,0.1,860
3792,2015,52,0.059,881
